,Anniversary gifts,Mothers day gifts,Fathers day gifts,Christmas gifts,Wedding gifts,Christening gifts,Baby gifts,Groomsmen gifts,Bridesmaid gifts,Graduation gifts,Valentines day gifts,Baby shower gifts,Housewarming gifts,Birthday gifts,Bridal shower gifts,Engagement gifts,Retirement gifts
2004,67.53,10.26,6.9,97.92,34.79,7.71,35.6,7.42,4.27,16.71,9.67,5,3.16,46.14,4.08,3.65,4.22
2005,63.49,12.01,8.15,100,32.7,8.05,34.3,6.68,4.42,14.65,9.9,4.75,2.92,48.79,3.95,3.2,4.1
2006,57.73,12.09,6.63,92.66,29.75,7.43,34.13,6.88,4.79,12.87,10.17,5.4,2.45,48.02,3.9,3.26,3.86
2007,53.82,12.68,7.69,92.25,26.74,7.81,29.74,6.22,4.69,11.65,10.45,4.69,2.42,44.92,3.53,3.2,4.03
2008,44.82,12.55,7.18,83.83,23.53,6.95,25.03,5.33,4.78,10.09,9.16,4.54,1.94,44.32,2.95,2.63,3.26
2009,55.93,11.05,8.15,75.81,20.05,7.78,21.5,5.03,5.19,9.33,10.04,4.55,2.59,44.56,3.04,2.57,2.89
2010,59.41,9.45,7.64,79.77,18.19,7.48,18.97,4.31,4.56,8.27,9.93,4.16,2.41,42.79,2.87,2.53,2.99
2011,54.75,8.98,8.06,72.21,16.97,7.03,16.49,4.28,3.52,8.14,10.13,4.18,2.75,38.72,2.84,2.3,2.41
2012,58.8,11.92,8.71,72.55,16.87,6.63,15.18,3.9,2.97,8.89,8.26,4.84,2.96,43.91,3.26,2.48,2.63
2013,47,11.07,8.28,69.79,15.64,6.43,14.03,4.15,3.5,8.62,6.81,4.56,3.71,41.72,2.34,2.72,2.56
2014,45.15,10.77,7.95,65.77,16.3,5.64,12.69,3.81,3.38,8.37,4.99,4.58,3.69,43.43,2.24,2.57,2.5
2015,44.52,9.68,6.07,72.83,16.2,4.93,11.84,3.54,3.15,8.23,4.24,4.76,3.61,49.49,2.56,2.83,2.75
2016,39.88,9.14,5.04,70.27,16.23,4.84,11.59,3.22,3.07,8.8,5.82,4.82,3.56,51.16,3.03,3.11,3.06
2017,41.63,14.49,5.08,71.21,16.33,4.7,11.67,3.37,3.17,8.96,3.83,4.99,4.15,52.83,3.32,3.47,3.4
2018,42.44,21.82,7.73,11.95,15.85,4.61,11.37,3.48,3.06,10.21,13.03,5.33,3.79,51.62,3.57,3.21,3.66